n,algorithm,duration_s,correct
8,smm,0.000005,1
8,smmr,0.000007,1
8,strassen,0.000048,1
16,smm,0.000021,1
16,smmr,0.000044,1
16,strassen,0.000241,1
24,smm,0.000091,1
24,smmr,0.000343,1
24,strassen,0.001512,1
32,smm,0.000140,1
32,smmr,0.000281,1
32,strassen,0.001362,1
40,smm,0.000300,1
40,smmr,0.002256,1
40,strassen,0.009122,1
48,smm,0.000392,1
48,smmr,0.001942,1
48,strassen,0.007742,1
56,smm,0.000534,1
56,smmr,0.001677,1
56,strassen,0.006821,1
64,smm,0.000700,1
64,smmr,0.001476,1
64,strassen,0.006197,1
72,smm,0.000894,1
72,smmr,0.010211,1
72,strassen,0.031244,1
80,smm,0.000891,1
80,smmr,0.007509,1
80,strassen,0.027030,1
88,smm,0.001099,1
88,smmr,0.007226,1
88,strassen,0.026808,1
96,smm,0.001425,1
96,smmr,0.007210,1
96,strassen,0.026817,1
104,smm,0.001806,1
104,smmr,0.007212,1
104,strassen,0.026576,1
112,smm,0.002248,1
112,smmr,0.007199,1
112,strassen,0.026800,1
120,smm,0.002760,1
120,smmr,0.007203,1
120,strassen,0.026606,1
128,smm,0.003368,1
128,smmr,0.007213,1
128,strassen,0.026810,1
136,smm,0.004007,1
136,smmr,0.057859,1
136,strassen,0.187378,1
144,smm,0.004755,1
144,smmr,0.057639,1
144,strassen,0.187363,1
152,smm,0.005583,1
152,smmr,0.057634,1
152,strassen,0.185754,1
160,smm,0.006506,1
160,smmr,0.057680,1
160,strassen,0.187590,1
168,smm,0.007534,1
168,smmr,0.057622,1
168,strassen,0.187693,1
176,smm,0.008647,1
176,smmr,0.057711,1
176,strassen,0.185754,1
184,smm,0.009872,1
184,smmr,0.057659,1
184,strassen,0.187342,1
192,smm,0.011208,1
192,smmr,0.057801,1
192,strassen,0.185571,1
200,smm,0.012661,1
200,smmr,0.057623,1
200,strassen,0.187364,1
208,smm,0.014234,1
208,smmr,0.057856,1
208,strassen,0.185589,1
216,smm,0.015932,1
216,smmr,0.057678,1
216,strassen,0.187412,1
224,smm,0.017775,1
224,smmr,0.057695,1
224,strassen,0.185782,1
232,smm,0.019744,1
232,smmr,0.057684,1
232,strassen,0.187369,1
240,smm,0.021836,1
240,smmr,0.057715,1
240,strassen,0.187406,1
248,smm,0.024082,1
248,smmr,0.057691,1
248,strassen,0.185734,1
256,smm,0.026489,1
256,smmr,0.057587,1
256,strassen,0.187416,1
264,smm,0.029199,1
264,smmr,0.461891,1
264,strassen,1.299338,1
272,smm,0.031750,1
272,smmr,0.461658,1
272,strassen,1.305754,1
280,smm,0.034660,1
280,smmr,0.461748,1
280,strassen,1.305929,1
288,smm,0.037838,1
288,smmr,0.461721,1
288,strassen,1.312753,1
296,smm,0.041083,1
296,smmr,0.462067,1
296,strassen,1.313300,1
304,smm,0.044571,1
304,smmr,0.461801,1
304,strassen,1.312105,1
312,smm,0.048075,1
312,smmr,0.460767,1
312,strassen,1.304773,1
320,smm,0.051718,1
320,smmr,0.461323,1
320,strassen,1.311892,1
328,smm,0.055650,1
328,smmr,0.461528,1
328,strassen,1.311945,1
336,smm,0.059796,1
336,smmr,0.461351,1
336,strassen,1.312753,1
344,smm,0.064281,1
344,smmr,0.461496,1
344,strassen,1.296679,1
352,smm,0.068933,1
352,smmr,0.461446,1
352,strassen,1.305894,1
360,smm,0.073570,1
360,smmr,0.461530,1
360,strassen,1.312285,1
368,smm,0.078564,1
368,smmr,0.461840,1
368,strassen,1.312575,1
376,smm,0.083762,1
376,smmr,0.462063,1
376,strassen,1.313216,1
384,smm,0.089168,1
384,smmr,0.461085,1
384,strassen,1.302853,1
392,smm,0.094869,1
392,smmr,0.460665,1
392,strassen,1.306591,1
400,smm,0.100792,1
400,smmr,0.462194,1
400,strassen,1.313380,1
408,smm,0.107160,1
408,smmr,0.466914,1
408,strassen,1.316598,1
416,smm,0.115111,1
416,smmr,0.466594,1
416,strassen,1.312407,1
424,smm,0.119843,1
424,smmr,0.461822,1
424,strassen,1.309192,1
432,smm,0.126782,1
432,smmr,0.461511,1
432,strassen,1.311766,1
440,smm,0.133930,1
440,smmr,0.461733,1
440,strassen,1.312984,1
448,smm,0.141337,1
448,smmr,0.461701,1
448,strassen,1.307148,1
456,smm,0.149279,1
456,smmr,0.461908,1
456,strassen,1.315219,1
464,smm,0.157257,1
464,smmr,0.462336,1
464,strassen,1.304920,1
472,smm,0.165413,1
472,smmr,0.461130,1
472,strassen,1.307870,1
480,smm,0.173802,1
480,smmr,0.461989,1
480,strassen,1.302691,1
488,smm,0.182510,1
488,smmr,0.461828,1
488,strassen,1.307717,1
496,smm,0.191932,1
496,smmr,0.461415,1
496,strassen,1.303060,1
504,smm,0.201046,1
504,smmr,0.461485,1
504,strassen,1.305634,1
512,smm,0.210938,1
512,smmr,0.461407,1
512,strassen,1.300660,1
520,smm,0.220734,1
520,smmr,3.706154,1
520,strassen,9.292409,1
528,smm,0.236767,1
528,smmr,3.742011,1
528,strassen,9.188007,1
536,smm,0.242012,1
536,smmr,3.717691,1
536,strassen,9.183525,1
544,smm,0.253236,1
544,smmr,3.702541,1
544,strassen,9.102630,1
552,smm,0.264140,1
552,smmr,3.704621,1
552,strassen,9.186665,1
560,smm,0.276171,1
560,smmr,3.702711,1
560,strassen,9.183957,1
568,smm,0.287622,1
568,smmr,3.705105,1
568,strassen,9.221600,1
576,smm,0.299930,1
576,smmr,3.705730,1
576,strassen,9.189460,1
584,smm,0.312670,1
584,smmr,3.701836,1
584,strassen,9.185366,1
592,smm,0.326033,1
592,smmr,3.702395,1
592,strassen,9.120070,1
600,smm,0.342531,1
600,smmr,3.740165,1
600,strassen,9.253491,1
608,smm,0.356447,1
608,smmr,3.739595,1
608,strassen,9.261233,1
616,smm,0.370933,1
616,smmr,3.740749,1
616,strassen,9.115340,1
624,smm,0.381749,1
624,smmr,3.703650,1
624,strassen,9.187162,1
632,smm,0.395994,1
632,smmr,3.703093,1
632,strassen,9.185939,1
640,smm,0.411165,1
640,smmr,3.702502,1
640,strassen,9.185189,1
648,smm,0.426825,1
648,smmr,3.703774,1
648,strassen,9.186585,1
656,smm,0.445133,1
656,smmr,3.703750,1
656,strassen,9.185808,1
664,smm,0.459101,1
664,smmr,3.709882,1
664,strassen,9.112861,1
672,smm,0.475851,1
672,smmr,3.702877,1
672,strassen,9.185725,1
680,smm,0.493020,1
680,smmr,3.709558,1
680,strassen,9.078918,1
688,smm,0.511885,1
688,smmr,3.703459,1
688,strassen,9.185855,1
696,smm,0.528625,1
696,smmr,3.702267,1
696,strassen,9.187530,1
704,smm,0.547017,1
704,smmr,3.701674,1
704,strassen,9.076947,1
712,smm,0.565897,1
712,smmr,3.703402,1
712,strassen,9.078106,1
720,smm,0.592354,1
720,smmr,3.703045,1
720,strassen,9.186484,1
728,smm,0.604749,1
728,smmr,3.702059,1
728,strassen,9.190628,1
736,smm,0.624870,1
736,smmr,3.702036,1
736,strassen,9.185249,1
744,smm,0.645545,1
744,smmr,3.701450,1
744,strassen,9.119594,1
752,smm,0.667685,1
752,smmr,3.702830,1
752,strassen,9.188152,1
760,smm,0.687969,1
760,smmr,3.701863,1
760,strassen,9.188556,1
768,smm,0.709951,1
768,smmr,3.702715,1
768,strassen,9.187071,1
776,smm,0.732262,1
776,smmr,3.701974,1
776,strassen,9.194562,1
784,smm,0.756503,1
784,smmr,3.702051,1
784,strassen,9.185767,1
792,smm,0.778412,1
792,smmr,3.701328,1
792,strassen,9.187914,1
800,smm,0.802182,1
800,smmr,3.701689,1
800,strassen,9.188654,1
808,smm,0.826522,1
808,smmr,3.701739,1
808,strassen,9.189123,1
816,smm,0.856433,1
816,smmr,3.703627,1
816,strassen,9.926017,1
824,smm,0.924314,1
824,smmr,3.788722,1
824,strassen,9.153513,1
832,smm,0.924374,1
832,smmr,3.706120,1
832,strassen,9.193671,1
840,smm,0.928612,1
840,smmr,3.701309,1
840,strassen,9.188303,1
848,smm,0.956066,1
848,smmr,3.701616,1
848,strassen,9.188314,1
856,smm,0.982840,1
856,smmr,3.701758,1
856,strassen,9.098841,1
864,smm,1.010300,1
864,smmr,3.702159,1
864,strassen,9.151091,1
872,smm,1.038502,1
872,smmr,3.698412,1
872,strassen,9.186889,1
880,smm,1.068418,1
880,smmr,3.704780,1
880,strassen,9.077547,1
888,smm,1.096766,1
888,smmr,3.700038,1
888,strassen,9.187704,1
896,smm,1.126564,1
896,smmr,3.700179,1
896,strassen,9.187760,1
904,smm,1.156982,1
904,smmr,3.701642,1
904,strassen,9.187047,1
912,smm,1.188035,1
912,smmr,3.699111,1
912,strassen,9.187471,1
920,smm,1.220117,1
920,smmr,3.703774,1
920,strassen,9.192836,1
928,smm,1.252509,1
928,smmr,3.702843,1
928,strassen,9.198134,1
936,smm,1.284732,1
936,smmr,3.703223,1
936,strassen,9.109934,1
944,smm,1.317439,1
944,smmr,3.701692,1
944,strassen,9.078744,1
952,smm,1.351100,1
952,smmr,3.701687,1
952,strassen,9.187659,1
960,smm,1.385269,1
960,smmr,3.701074,1
960,strassen,9.189328,1
968,smm,1.420228,1
968,smmr,3.702499,1
968,strassen,9.187826,1
976,smm,1.455741,1
976,smmr,3.701007,1
976,strassen,9.077826,1
984,smm,1.491608,1
984,smmr,3.702807,1
984,strassen,9.186135,1
992,smm,1.528155,1
992,smmr,3.699824,1
992,strassen,9.189384,1
1000,smm,1.565714,1
1000,smmr,3.700886,1
1000,strassen,9.188088,1
1008,smm,1.603792,1
1008,smmr,3.702872,1
1008,strassen,9.075700,1
1016,smm,1.641954,1
1016,smmr,3.702579,1
1016,strassen,9.078342,1
1024,smm,1.684780,1
1024,smmr,3.706395,1
1024,strassen,9.205238,1
8,smm,0.000002,1
8,smmr,0.000003,1
8,strassen,0.000017,1
16,smm,0.000008,1
16,smmr,0.000015,1
16,strassen,0.000084,1
24,smm,0.000026,1
24,smmr,0.000119,1
24,strassen,0.000547,1
32,smm,0.000060,1
32,smmr,0.000121,1
32,strassen,0.000557,1
40,smm,0.000117,1
40,smmr,0.000921,1
40,strassen,0.003821,1
48,smm,0.000196,1
48,smmr,0.000913,1
48,strassen,0.003819,1
56,smm,0.000292,1
56,smmr,0.000902,1
56,strassen,0.003819,1
64,smm,0.000430,1
64,smmr,0.000899,1
64,strassen,0.003820,1
72,smm,0.000608,1
72,smmr,0.007221,1
72,strassen,0.026868,1
80,smm,0.000830,1
80,smmr,0.007217,1
80,strassen,0.026757,1
88,smm,0.001144,1
88,smmr,0.007219,1
88,strassen,0.026772,1
96,smm,0.001444,1
96,smmr,0.007240,1
96,strassen,0.026747,1
104,smm,0.001804,1
104,smmr,0.007199,1
104,strassen,0.026767,1
112,smm,0.002273,1
112,smmr,0.007200,1
112,strassen,0.026786,1
120,smm,0.002763,1
120,smmr,0.007199,1
120,strassen,0.026804,1
128,smm,0.003345,1
128,smmr,0.007195,1
128,strassen,0.026793,1
136,smm,0.004019,1
136,smmr,0.057922,1
136,strassen,0.187874,1
144,smm,0.004754,1
144,smmr,0.057629,1
144,strassen,0.187279,1
152,smm,0.005583,1
152,smmr,0.057606,1
152,strassen,0.187366,1
160,smm,0.006509,1
160,smmr,0.057684,1
160,strassen,0.187369,1
168,smm,0.007524,1
168,smmr,0.057613,1
168,strassen,0.187359,1
176,smm,0.008645,1
176,smmr,0.057654,1
176,strassen,0.187578,1
184,smm,0.009872,1
184,smmr,0.057781,1
184,strassen,0.187353,1
192,smm,0.011210,1
192,smmr,0.057638,1
192,strassen,0.187367,1
200,smm,0.012664,1
200,smmr,0.057643,1
200,strassen,0.187365,1
208,smm,0.014235,1
208,smmr,0.057686,1
208,strassen,0.187292,1
216,smm,0.015934,1
216,smmr,0.057680,1
216,strassen,0.187291,1
224,smm,0.017788,1
224,smmr,0.057734,1
224,strassen,0.187413,1
232,smm,0.019726,1
232,smmr,0.057627,1
232,strassen,0.187298,1
240,smm,0.021836,1
240,smmr,0.057681,1
240,strassen,0.187451,1
248,smm,0.024075,1
248,smmr,0.057618,1
248,strassen,0.187556,1
256,smm,0.026474,1
256,smmr,0.057594,1
256,strassen,0.187384,1
264,smm,0.029149,1
264,smmr,0.461762,1
264,strassen,1.310843,1
272,smm,0.031793,1
272,smmr,0.461609,1
272,strassen,1.304852,1
280,smm,0.034659,1
280,smmr,0.461339,1
280,strassen,1.312100,1
288,smm,0.037877,1
288,smmr,0.461364,1
288,strassen,1.304288,1
296,smm,0.040973,1
296,smmr,0.461374,1
296,strassen,1.296868,1
304,smm,0.044374,1
304,smmr,0.461473,1
304,strassen,1.312567,1
312,smm,0.047898,1
312,smmr,0.461498,1
312,strassen,1.312849,1
320,smm,0.051744,1
320,smmr,0.461355,1
320,strassen,1.305608,1
328,smm,0.055725,1
328,smmr,0.461348,1
328,strassen,1.296814,1
336,smm,0.059800,1
336,smmr,0.461552,1
336,strassen,1.303936,1
344,smm,0.064163,1
344,smmr,0.461279,1
344,strassen,1.304516,1
352,smm,0.068708,1
352,smmr,0.461273,1
352,strassen,1.312688,1
360,smm,0.073487,1
360,smmr,0.462328,1
360,strassen,1.312940,1
368,smm,0.078576,1
368,smmr,0.461767,1
368,strassen,1.302976,1
376,smm,0.083699,1
376,smmr,0.461766,1
376,strassen,1.304146,1
384,smm,0.089133,1
384,smmr,0.461393,1
384,strassen,1.312719,1
392,smm,0.094814,1
392,smmr,0.462457,1
392,strassen,1.303606,1
400,smm,0.100725,1
400,smmr,0.461314,1
400,strassen,1.312840,1
408,smm,0.106847,1
408,smmr,0.460957,1
408,strassen,1.312637,1
416,smm,0.113292,1
416,smmr,0.461208,1
416,strassen,1.312957,1
424,smm,0.119835,1
424,smmr,0.461716,1
424,strassen,1.302978,1
432,smm,0.126809,1
432,smmr,0.461402,1
432,strassen,1.302633,1
440,smm,0.134001,1
440,smmr,0.461480,1
440,strassen,1.302948,1
448,smm,0.141356,1
448,smmr,0.461773,1
448,strassen,1.312871,1
456,smm,0.149061,1
456,smmr,0.461193,1
456,strassen,1.304999,1
464,smm,0.157043,1
464,smmr,0.461219,1
464,strassen,1.313226,1
472,smm,0.165237,1
472,smmr,0.461742,1
472,strassen,1.312900,1
480,smm,0.173787,1
480,smmr,0.460859,1
480,strassen,1.307021,1
488,smm,0.182516,1
488,smmr,0.461475,1
488,strassen,1.313005,1
496,smm,0.191850,1
496,smmr,0.461831,1
496,strassen,1.301787,1
504,smm,0.201084,1
504,smmr,0.461820,1
504,strassen,1.312740,1
512,smm,0.210738,1
512,smmr,0.460759,1
512,strassen,1.296685,1
520,smm,0.220884,1
520,smmr,3.700693,1
520,strassen,9.188855,1
528,smm,0.231210,1
528,smmr,3.702434,1
528,strassen,9.188670,1
536,smm,0.241698,1
536,smmr,3.704117,1
536,strassen,9.081294,1
544,smm,0.252752,1
544,smmr,3.701233,1
544,strassen,9.087442,1
552,smm,0.264021,1
552,smmr,3.700952,1
552,strassen,9.080327,1
560,smm,0.276040,1
560,smmr,3.700407,1
560,strassen,9.186779,1
568,smm,0.287601,1
568,smmr,3.701433,1
568,strassen,9.190638,1
576,smm,0.299914,1
576,smmr,3.701185,1
576,strassen,9.081219,1
584,smm,0.312533,1
584,smmr,3.701203,1
584,strassen,9.081076,1
592,smm,0.325941,1
592,smmr,3.701945,1
592,strassen,9.191854,1
600,smm,0.338848,1
600,smmr,3.702023,1
600,strassen,9.194014,1
608,smm,0.352627,1
608,smmr,3.701986,1
608,strassen,9.079484,1
616,smm,0.366751,1
616,smmr,3.701434,1
616,strassen,9.081686,1
624,smm,0.381734,1
624,smmr,3.702489,1
624,strassen,9.327601,1
632,smm,0.395950,1
632,smmr,3.700446,1
632,strassen,9.080578,1
640,smm,0.411125,1
640,smmr,3.701717,1
640,strassen,9.078880,1
648,smm,0.426770,1
648,smmr,3.701073,1
648,strassen,9.080680,1
656,smm,0.443538,1
656,smmr,3.701551,1
656,strassen,9.187132,1
664,smm,0.459134,1
664,smmr,3.701414,1
664,strassen,9.189554,1
672,smm,0.475867,1
672,smmr,3.701443,1
672,strassen,9.087664,1
680,smm,0.493040,1
680,smmr,3.700889,1
680,strassen,9.190605,1
688,smm,0.511512,1
688,smmr,3.701084,1
688,strassen,9.187395,1
696,smm,0.528576,1
696,smmr,3.700733,1
696,strassen,9.081109,1
704,smm,0.547121,1
704,smmr,3.700840,1
704,strassen,9.189459,1
712,smm,0.565802,1
712,smmr,3.701374,1
712,strassen,9.188566,1
720,smm,0.586141,1
720,smmr,3.701531,1
720,strassen,9.189933,1
728,smm,0.604804,1
728,smmr,3.700727,1
728,strassen,9.190574,1
736,smm,0.624858,1
736,smmr,3.700431,1
736,strassen,9.189478,1
744,smm,0.645536,1
744,smmr,3.703917,1
744,strassen,9.085959,1
752,smm,0.667276,1
752,smmr,3.701810,1
752,strassen,9.190990,1
760,smm,0.687936,1
760,smmr,3.700113,1
760,strassen,9.189442,1
768,smm,0.710028,1
768,smmr,3.700870,1
768,strassen,9.116248,1
776,smm,0.732225,1
776,smmr,3.700527,1
776,strassen,9.187217,1
784,smm,0.756363,1
784,smmr,3.701815,1
784,strassen,9.079452,1
792,smm,0.778443,1
792,smmr,3.700205,1
792,strassen,9.189714,1
800,smm,0.802249,1
800,smmr,3.701667,1
800,strassen,9.188966,1
808,smm,0.826496,1
808,smmr,3.700130,1
808,strassen,9.122207,1
816,smm,0.852720,1
816,smmr,3.709835,1
816,strassen,9.189413,1
824,smm,0.876545,1
824,smmr,3.701035,1
824,strassen,9.163669,1
832,smm,0.902324,1
832,smmr,3.701186,1
832,strassen,9.116797,1
840,smm,0.928634,1
840,smmr,3.700389,1
840,strassen,9.190815,1
848,smm,0.956216,1
848,smmr,3.702085,1
848,strassen,9.189262,1
856,smm,0.982439,1
856,smmr,3.699704,1
856,strassen,9.188726,1
864,smm,1.010289,1
864,smmr,3.701104,1
864,strassen,9.190517,1
872,smm,1.038636,1
872,smmr,3.701236,1
872,strassen,9.081896,1
880,smm,1.067410,1
880,smmr,3.700266,1
880,strassen,9.197220,1
888,smm,1.096827,1
888,smmr,3.700540,1
888,strassen,9.188701,1
896,smm,1.126637,1
896,smmr,3.699753,1
896,strassen,9.190227,1
904,smm,1.157280,1
904,smmr,3.700331,1
904,strassen,9.190127,1
912,smm,1.188096,1
912,smmr,3.700882,1
912,strassen,9.080894,1
920,smm,1.219468,1
920,smmr,3.699773,1
920,strassen,9.188920,1
928,smm,1.251922,1
928,smmr,3.700336,1
928,strassen,9.189271,1
936,smm,1.284242,1
936,smmr,3.700833,1
936,strassen,9.124252,1
944,smm,1.317464,1
944,smmr,3.701116,1
944,strassen,9.081102,1
952,smm,1.351079,1
952,smmr,3.706686,1
952,strassen,9.145749,1
960,smm,1.385762,1
960,smmr,3.701559,1
960,strassen,9.187312,1
968,smm,1.420184,1
968,smmr,3.701101,1
968,strassen,9.123048,1
976,smm,1.455800,1
976,smmr,3.701147,1
976,strassen,9.189187,1
984,smm,1.491828,1
984,smmr,3.701433,1
984,strassen,9.189054,1
992,smm,1.528480,1
992,smmr,3.701394,1
992,strassen,9.079332,1
1000,smm,1.565718,1
1000,smmr,3.700671,1
1000,strassen,9.187571,1
1008,smm,1.603589,1
1008,smmr,3.701642,1
1008,strassen,9.188556,1
1016,smm,1.641994,1
1016,smmr,3.700864,1
1016,strassen,9.197322,1
1024,smm,1.684724,1
1024,smmr,3.700251,1
1024,strassen,9.077639,1
8,smm,0.000001,1
8,smmr,0.000004,1
8,strassen,0.000013,1
16,smm,0.000007,1
16,smmr,0.000014,1
16,strassen,0.000084,1
24,smm,0.000025,1
24,smmr,0.000115,1
24,strassen,0.000544,1
32,smm,0.000059,1
32,smmr,0.000114,1
32,strassen,0.000540,1
40,smm,0.000116,1
40,smmr,0.000920,1
40,strassen,0.003776,1
48,smm,0.000196,1
48,smmr,0.000910,1
48,strassen,0.003772,1
56,smm,0.000291,1
56,smmr,0.000901,1
56,strassen,0.003775,1
64,smm,0.000429,1
64,smmr,0.000899,1
64,strassen,0.003777,1
72,smm,0.000609,1
72,smmr,0.007277,1
72,strassen,0.026826,1
80,smm,0.000830,1
80,smmr,0.007199,1
80,strassen,0.026763,1
88,smm,0.001145,1
88,smmr,0.007233,1
88,strassen,0.026757,1
96,smm,0.001436,1
96,smmr,0.007257,1
96,strassen,0.026470,1
104,smm,0.001804,1
104,smmr,0.007228,1
104,strassen,0.026463,1
112,smm,0.002269,1
112,smmr,0.007201,1
112,strassen,0.026556,1
120,smm,0.002887,1
120,smmr,0.007362,1
120,strassen,0.026494,1
128,smm,0.003374,1
128,smmr,0.007203,1
128,strassen,0.026482,1
136,smm,0.004017,1
136,smmr,0.057685,1
136,strassen,0.187885,1
144,smm,0.004751,1
144,smmr,0.057769,1
144,strassen,0.187456,1
152,smm,0.005582,1
152,smmr,0.057665,1
152,strassen,0.187387,1
160,smm,0.006510,1
160,smmr,0.057729,1
160,strassen,0.187463,1
168,smm,0.007525,1
168,smmr,0.057647,1
168,strassen,0.187367,1
176,smm,0.008645,1
176,smmr,0.057895,1
176,strassen,0.187494,1
184,smm,0.009872,1
184,smmr,0.057662,1
184,strassen,0.187355,1
192,smm,0.011208,1
192,smmr,0.057751,1
192,strassen,0.187389,1
200,smm,0.012674,1
200,smmr,0.057665,1
200,strassen,0.187423,1
208,smm,0.014233,1
208,smmr,0.057663,1
208,strassen,0.185320,1
216,smm,0.015932,1
216,smmr,0.057699,1
216,strassen,0.185200,1
224,smm,0.017771,1
224,smmr,0.057712,1
224,strassen,0.185251,1
232,smm,0.019725,1
232,smmr,0.057632,1
232,strassen,0.185304,1
240,smm,0.021848,1
240,smmr,0.057750,1
240,strassen,0.187519,1
248,smm,0.024077,1
248,smmr,0.057712,1
248,strassen,0.187525,1
256,smm,0.026473,1
256,smmr,0.057626,1
256,strassen,0.187387,1
264,smm,0.029023,1
264,smmr,0.461651,1
264,strassen,1.312980,1
272,smm,0.031796,1
272,smmr,0.461821,1
272,strassen,1.312653,1
280,smm,0.034643,1
280,smmr,0.461378,1
280,strassen,1.312623,1
288,smm,0.037734,1
288,smmr,0.461427,1
288,strassen,1.297700,1
296,smm,0.040970,1
296,smmr,0.461623,1
296,strassen,1.312376,1
304,smm,0.044397,1
304,smmr,0.461470,1
304,strassen,1.297457,1
312,smm,0.047952,1
312,smmr,0.461150,1
312,strassen,1.303819,1
320,smm,0.051688,1
320,smmr,0.461450,1
320,strassen,1.303464,1
328,smm,0.055627,1
328,smmr,0.461328,1
328,strassen,1.296641,1
336,smm,0.059850,1
336,smmr,0.461369,1
336,strassen,1.305494,1
344,smm,0.064173,1
344,smmr,0.461268,1
344,strassen,1.306689,1
352,smm,0.068734,1
352,smmr,0.461336,1
352,strassen,1.297304,1
360,smm,0.073529,1
360,smmr,0.461510,1
360,strassen,1.305803,1
368,smm,0.078469,1
368,smmr,0.461991,1
368,strassen,1.312229,1
376,smm,0.083715,1
376,smmr,0.461295,1
376,strassen,1.307125,1
384,smm,0.089118,1
384,smmr,0.461119,1
384,strassen,1.297138,1
392,smm,0.094759,1
392,smmr,0.461641,1
392,strassen,1.313047,1
400,smm,0.100770,1
400,smmr,0.461420,1
400,strassen,1.312279,1
408,smm,0.106858,1
408,smmr,0.461571,1
408,strassen,1.312895,1
416,smm,0.113277,1
416,smmr,0.460916,1
416,strassen,1.296915,1
424,smm,0.119877,1
424,smmr,0.460939,1
424,strassen,1.312862,1
432,smm,0.126837,1
432,smmr,0.460963,1
432,strassen,1.312450,1
440,smm,0.133950,1
440,smmr,0.461140,1
440,strassen,1.312371,1
448,smm,0.141359,1
448,smmr,0.461964,1
448,strassen,1.296958,1
456,smm,0.149010,1
456,smmr,0.461063,1
456,strassen,1.312137,1
464,smm,0.157063,1
464,smmr,0.461036,1
464,strassen,1.312494,1
472,smm,0.165317,1
472,smmr,0.460952,1
472,strassen,1.307379,1
480,smm,0.173784,1
480,smmr,0.460879,1
480,strassen,1.307122,1
488,smm,0.182622,1
488,smmr,0.461007,1
488,strassen,1.307469,1
496,smm,0.191793,1
496,smmr,0.460879,1
496,strassen,1.313117,1
504,smm,0.201094,1
504,smmr,0.461298,1
504,strassen,1.307720,1
512,smm,0.210766,1
512,smmr,0.461104,1
512,strassen,1.296811,1
520,smm,0.220817,1
520,smmr,3.701026,1
520,strassen,9.186588,1
528,smm,0.231289,1
528,smmr,3.700666,1
528,strassen,9.187331,1
536,smm,0.241812,1
536,smmr,3.703946,1
536,strassen,9.158903,1
544,smm,0.252807,1
544,smmr,3.700862,1
544,strassen,9.189339,1
552,smm,0.264047,1
552,smmr,3.703042,1
552,strassen,9.260574,1
560,smm,0.275987,1
560,smmr,3.701146,1
560,strassen,9.187660,1
568,smm,0.287682,1
568,smmr,3.702150,1
568,strassen,9.189302,1
576,smm,0.299892,1
576,smmr,3.701198,1
576,strassen,9.188962,1
584,smm,0.312554,1
584,smmr,3.705013,1
584,strassen,9.201372,1
592,smm,0.326259,1
592,smmr,3.703037,1
592,strassen,9.088750,1
600,smm,0.338916,1
600,smmr,3.702304,1
600,strassen,9.077872,1
608,smm,0.352536,1
608,smmr,3.701007,1
608,strassen,9.196776,1
616,smm,0.366746,1
616,smmr,3.700658,1
616,strassen,9.079963,1
624,smm,0.381587,1
624,smmr,3.702381,1
624,strassen,9.176860,1
632,smm,0.395943,1
632,smmr,3.702243,1
632,strassen,9.189485,1
640,smm,0.411140,1
640,smmr,3.701841,1
640,strassen,9.189374,1
648,smm,0.426861,1
648,smmr,3.700936,1
648,strassen,9.079250,1
656,smm,0.443575,1
656,smmr,3.701073,1
656,strassen,9.078225,1
664,smm,0.459057,1
664,smmr,3.702020,1
664,strassen,9.189190,1
672,smm,0.475903,1
672,smmr,3.701262,1
672,strassen,9.187938,1
680,smm,0.493017,1
680,smmr,3.701598,1
680,strassen,9.193523,1
688,smm,0.511560,1
688,smmr,3.701231,1
688,strassen,9.079190,1
696,smm,0.528645,1
696,smmr,3.700320,1
696,strassen,9.187747,1
