n,algorithm,duration_s,correct
704,smm,0.547021,1
704,smmr,3.701556,1
704,strassen,9.078328,1
712,smm,0.565877,1
712,smmr,3.702306,1
712,strassen,9.186421,1
720,smm,0.585874,1
720,smmr,3.700912,1
720,strassen,9.187100,1
728,smm,0.604819,1
728,smmr,3.700421,1
728,strassen,9.081281,1
736,smm,0.624903,1
736,smmr,3.700643,1
736,strassen,9.187884,1
744,smm,0.645487,1
744,smmr,3.700937,1
744,strassen,9.079785,1
752,smm,0.667900,1
752,smmr,3.701468,1
752,strassen,9.194430,1
760,smm,0.687996,1
760,smmr,3.699821,1
760,strassen,9.078088,1
768,smm,0.709921,1
768,smmr,3.701167,1
768,strassen,9.186830,1
776,smm,0.732316,1
776,smmr,3.700859,1
776,strassen,9.187753,1
784,smm,0.756333,1
784,smmr,3.700980,1
784,strassen,9.077490,1
792,smm,0.778408,1
792,smmr,3.700060,1
792,strassen,9.190118,1
800,smm,0.802256,1
800,smmr,3.700870,1
800,strassen,9.080364,1
808,smm,0.826795,1
808,smmr,3.699947,1
808,strassen,9.079194,1
816,smm,0.852196,1
816,smmr,3.702330,1
816,strassen,9.186267,1
824,smm,0.876512,1
824,smmr,3.700474,1
824,strassen,9.197880,1
832,smm,0.902267,1
832,smmr,3.700413,1
832,strassen,9.078355,1
840,smm,0.928338,1
840,smmr,3.700537,1
840,strassen,9.189486,1
848,smm,0.956451,1
848,smmr,3.701484,1
848,strassen,9.189705,1
856,smm,0.982526,1
856,smmr,3.701667,1
856,strassen,9.189641,1
864,smm,1.010395,1
864,smmr,3.700780,1
864,strassen,9.187140,1
872,smm,1.038690,1
872,smmr,3.701341,1
872,strassen,9.186544,1
880,smm,1.067610,1
880,smmr,3.700195,1
880,strassen,9.080076,1
888,smm,1.096714,1
888,smmr,3.701410,1
888,strassen,9.188212,1
896,smm,1.126717,1
896,smmr,3.710583,1
896,strassen,9.188853,1
904,smm,1.156937,1
904,smmr,3.700152,1
904,strassen,9.160406,1
912,smm,1.188349,1
912,smmr,3.700783,1
912,strassen,9.186089,1
920,smm,1.219525,1
920,smmr,3.699591,1
920,strassen,9.080198,1
928,smm,1.251336,1
928,smmr,3.700710,1
928,strassen,9.186679,1
936,smm,1.284196,1
936,smmr,3.700130,1
936,strassen,9.082233,1
944,smm,1.317435,1
944,smmr,3.701083,1
944,strassen,9.081462,1
952,smm,1.351090,1
952,smmr,3.700128,1
952,strassen,9.189690,1
960,smm,1.385529,1
960,smmr,3.700822,1
960,strassen,9.197001,1
968,smm,1.420324,1
968,smmr,3.700974,1
968,strassen,9.188935,1
976,smm,1.455765,1
976,smmr,3.701083,1
976,strassen,9.189196,1
984,smm,1.491822,1
984,smmr,3.701723,1
984,strassen,9.188777,1
992,smm,1.528460,1
992,smmr,3.700036,1
992,strassen,9.188598,1
1000,smm,1.565696,1
1000,smmr,3.701660,1
1000,strassen,9.186540,1
1008,smm,1.603771,1
1008,smmr,3.700664,1
1008,strassen,9.079467,1
1016,smm,1.642209,1
1016,smmr,3.701493,1
1016,strassen,9.188968,1
1024,smm,1.683588,1
1024,smmr,3.700351,1
1024,strassen,9.188752,1
8,smm,0.000001,1
8,smmr,0.000003,1
8,strassen,0.000014,1
16,smm,0.000007,1
16,smmr,0.000016,1
16,strassen,0.000083,1
24,smm,0.000027,1
24,smmr,0.000123,1
24,strassen,0.000568,1
32,smm,0.000059,1
32,smmr,0.000122,1
32,strassen,0.000566,1
40,smm,0.000116,1
40,smmr,0.000933,1
40,strassen,0.003786,1
48,smm,0.000196,1
48,smmr,0.000926,1
48,strassen,0.003783,1
56,smm,0.000298,1
56,smmr,0.000901,1
56,strassen,0.003785,1
64,smm,0.000430,1
64,smmr,0.000900,1
64,strassen,0.003782,1
72,smm,0.000608,1
72,smmr,0.007223,1
72,strassen,0.026829,1
80,smm,0.000832,1
80,smmr,0.007241,1
80,strassen,0.026750,1
88,smm,0.001144,1
88,smmr,0.007262,1
88,strassen,0.026755,1
96,smm,0.001444,1
96,smmr,0.007265,1
96,strassen,0.026750,1
104,smm,0.001804,1
104,smmr,0.007201,1
104,strassen,0.026746,1
112,smm,0.002275,1
112,smmr,0.007227,1
112,strassen,0.026779,1
120,smm,0.002763,1
120,smmr,0.007202,1
120,strassen,0.026784,1
128,smm,0.003415,1
128,smmr,0.007469,1
128,strassen,0.026782,1
136,smm,0.004017,1
136,smmr,0.057683,1
136,strassen,0.188037,1
144,smm,0.004755,1
144,smmr,0.057668,1
144,strassen,0.187208,1
152,smm,0.005583,1
152,smmr,0.057601,1
152,strassen,0.187239,1
160,smm,0.006509,1
160,smmr,0.057974,1
160,strassen,0.187894,1
168,smm,0.007612,1
168,smmr,0.058344,1
168,strassen,0.189273,1
176,smm,0.008691,1
176,smmr,0.058695,1
176,strassen,0.188842,1
184,smm,0.009912,1
184,smmr,0.058359,1
184,strassen,0.188455,1
192,smm,0.011218,1
192,smmr,0.057624,1
192,strassen,0.187406,1
200,smm,0.012663,1
200,smmr,0.057647,1
200,strassen,0.187267,1
208,smm,0.014235,1
208,smmr,0.057675,1
208,strassen,0.187141,1
216,smm,0.015933,1
216,smmr,0.057633,1
216,strassen,0.187182,1
224,smm,0.017793,1
224,smmr,0.057698,1
224,strassen,0.187194,1
232,smm,0.019725,1
232,smmr,0.057622,1
232,strassen,0.187186,1
240,smm,0.021862,1
240,smmr,0.057791,1
240,strassen,0.185499,1
248,smm,0.024076,1
248,smmr,0.057670,1
248,strassen,0.185380,1
256,smm,0.026478,1
256,smmr,0.057587,1
256,strassen,0.185253,1
264,smm,0.029088,1
264,smmr,0.461712,1
264,strassen,1.300106,1
272,smm,0.031802,1
272,smmr,0.461694,1
272,strassen,1.304831,1
280,smm,0.034699,1
280,smmr,0.461719,1
280,strassen,1.302728,1
288,smm,0.037787,1
288,smmr,0.460818,1
288,strassen,1.302605,1
296,smm,0.040950,1
296,smmr,0.461368,1
296,strassen,1.303362,1
304,smm,0.044370,1
304,smmr,0.461266,1
304,strassen,1.310819,1
312,smm,0.047979,1
312,smmr,0.461547,1
312,strassen,1.296365,1
320,smm,0.051718,1
320,smmr,0.461337,1
320,strassen,1.304346,1
328,smm,0.055662,1
328,smmr,0.461588,1
328,strassen,1.295874,1
336,smm,0.059869,1
336,smmr,0.461185,1
336,strassen,1.304545,1
344,smm,0.064166,1
344,smmr,0.461662,1
344,strassen,1.311377,1
352,smm,0.068769,1
352,smmr,0.461717,1
352,strassen,1.304341,1
360,smm,0.073471,1
360,smmr,0.461283,1
360,strassen,1.304288,1
368,smm,0.078648,1
368,smmr,0.461122,1
368,strassen,1.305704,1
376,smm,0.083684,1
376,smmr,0.461222,1
376,strassen,1.301534,1
384,smm,0.089228,1
384,smmr,0.461830,1
384,strassen,1.304742,1
392,smm,0.094840,1
392,smmr,0.461218,1
392,strassen,1.301337,1
400,smm,0.100744,1
400,smmr,0.461329,1
400,strassen,1.301601,1
408,smm,0.106873,1
408,smmr,0.461057,1
408,strassen,1.311164,1
416,smm,0.113298,1
416,smmr,0.461284,1
416,strassen,1.305190,1
424,smm,0.119934,1
424,smmr,0.461569,1
424,strassen,1.311235,1
432,smm,0.126848,1
432,smmr,0.460977,1
432,strassen,1.311307,1
440,smm,0.133881,1
440,smmr,0.460842,1
440,strassen,1.311157,1
448,smm,0.141339,1
448,smmr,0.460930,1
448,strassen,1.301702,1
456,smm,0.149074,1
456,smmr,0.461118,1
456,strassen,1.311165,1
464,smm,0.156997,1
464,smmr,0.461149,1
464,strassen,1.296015,1
472,smm,0.165219,1
472,smmr,0.462093,1
472,strassen,1.311605,1
480,smm,0.173785,1
480,smmr,0.461054,1
480,strassen,1.307497,1
488,smm,0.182608,1
488,smmr,0.461478,1
488,strassen,1.301060,1
496,smm,0.191803,1
496,smmr,0.461624,1
496,strassen,1.295948,1
504,smm,0.201096,1
504,smmr,0.461199,1
504,strassen,1.295835,1
512,smm,0.210751,1
512,smmr,0.460914,1
512,strassen,1.295524,1
520,smm,0.220827,1
520,smmr,3.701909,1
520,strassen,9.179635,1
528,smm,0.231238,1
528,smmr,3.701954,1
528,strassen,9.179325,1
536,smm,0.241778,1
536,smmr,3.702952,1
536,strassen,9.073675,1
544,smm,0.252769,1
544,smmr,3.702053,1
544,strassen,9.182785,1
552,smm,0.264049,1
552,smmr,3.701436,1
552,strassen,9.187693,1
560,smm,0.276138,1
560,smmr,3.701241,1
560,strassen,9.179571,1
568,smm,0.287622,1
568,smmr,3.701725,1
568,strassen,9.180202,1
576,smm,0.299939,1
576,smmr,3.703692,1
576,strassen,9.180341,1
584,smm,0.312607,1
584,smmr,3.701541,1
584,strassen,9.078349,1
592,smm,0.325959,1
592,smmr,3.701253,1
592,strassen,9.180024,1
600,smm,0.338892,1
600,smmr,3.701416,1
600,strassen,9.071765,1
608,smm,0.352594,1
608,smmr,3.700829,1
608,strassen,9.180063,1
616,smm,0.366738,1
616,smmr,3.702001,1
616,strassen,9.179164,1
624,smm,0.381667,1
624,smmr,3.702661,1
624,strassen,9.093740,1
632,smm,0.395985,1
632,smmr,3.700876,1
632,strassen,9.179099,1
640,smm,0.411837,1
640,smmr,3.698027,1
640,strassen,9.180989,1
648,smm,0.426704,1
648,smmr,3.701565,1
648,strassen,9.179410,1
656,smm,0.443400,1
656,smmr,3.702497,1
656,strassen,9.178800,1
664,smm,0.459065,1
664,smmr,3.701395,1
664,strassen,9.075273,1
672,smm,0.475828,1
672,smmr,3.700600,1
672,strassen,9.178922,1
680,smm,0.493025,1
680,smmr,3.705467,1
680,strassen,9.098303,1
688,smm,0.511693,1
688,smmr,3.700248,1
688,strassen,9.077038,1
696,smm,0.528667,1
696,smmr,3.701048,1
696,strassen,9.187474,1
704,smm,0.547088,1
704,smmr,3.700954,1
704,strassen,9.142531,1
712,smm,0.565896,1
712,smmr,3.701533,1
712,strassen,9.179573,1
720,smm,0.585834,1
720,smmr,3.701355,1
720,strassen,9.179931,1
728,smm,0.604829,1
728,smmr,3.700131,1
728,strassen,9.084726,1
736,smm,0.624852,1
736,smmr,3.700679,1
736,strassen,9.071170,1
744,smm,0.645489,1
744,smmr,3.700997,1
744,strassen,9.071150,1
752,smm,0.667380,1
752,smmr,3.701387,1
752,strassen,9.144322,1
760,smm,0.688006,1
760,smmr,3.700605,1
760,strassen,9.179917,1
768,smm,0.709959,1
768,smmr,3.700214,1
768,strassen,9.082276,1
776,smm,0.732321,1
776,smmr,3.701008,1
776,strassen,9.179154,1
784,smm,0.756144,1
784,smmr,3.701336,1
784,strassen,9.179000,1
792,smm,0.778465,1
792,smmr,3.701885,1
792,strassen,9.180022,1
800,smm,0.802191,1
800,smmr,3.699994,1
800,strassen,9.074267,1
808,smm,0.826491,1
808,smmr,3.701521,1
808,strassen,9.178436,1
816,smm,0.852704,1
816,smmr,3.700467,1
816,strassen,9.073411,1
824,smm,0.876586,1
824,smmr,3.701418,1
824,strassen,9.180547,1
832,smm,0.902366,1
832,smmr,3.701832,1
832,strassen,9.178945,1
840,smm,0.928506,1
840,smmr,3.709895,1
840,strassen,9.142242,1
848,smm,0.955983,1
848,smmr,3.700825,1
848,strassen,9.178614,1
856,smm,0.982570,1
856,smmr,3.700650,1
856,strassen,9.180117,1
864,smm,1.010136,1
864,smmr,3.701575,1
864,strassen,9.180585,1
872,smm,1.038600,1
872,smmr,3.704488,1
872,strassen,9.181173,1
880,smm,1.067480,1
880,smmr,3.701730,1
880,strassen,9.180395,1
888,smm,1.096782,1
888,smmr,3.700492,1
888,strassen,9.180040,1
896,smm,1.126767,1
896,smmr,3.700152,1
896,strassen,9.122042,1
904,smm,1.157068,1
904,smmr,3.700268,1
904,strassen,9.186274,1
912,smm,1.188004,1
912,smmr,3.700427,1
912,strassen,9.178917,1
920,smm,1.219381,1
920,smmr,3.700699,1
920,strassen,9.072013,1
928,smm,1.251622,1
928,smmr,3.702498,1
928,strassen,9.136973,1
936,smm,1.284410,1
936,smmr,3.701955,1
936,strassen,9.181528,1
944,smm,1.317354,1
944,smmr,3.700104,1
944,strassen,9.178428,1
952,smm,1.351325,1
952,smmr,3.700982,1
952,strassen,9.179289,1
960,smm,1.385451,1
960,smmr,3.701481,1
960,strassen,9.160531,1
968,smm,1.420303,1
968,smmr,3.700251,1
968,strassen,9.073594,1
976,smm,1.455885,1
976,smmr,3.709525,1
976,strassen,9.180106,1
984,smm,1.491861,1
984,smmr,3.701193,1
984,strassen,9.179129,1
992,smm,1.528231,1
992,smmr,3.701591,1
992,strassen,9.180804,1
1000,smm,1.565777,1
1000,smmr,3.700654,1
1000,strassen,9.177886,1
1008,smm,1.603947,1
1008,smmr,3.700874,1
1008,strassen,9.178650,1
1016,smm,1.641948,1
1016,smmr,3.701564,1
1016,strassen,9.070719,1
1024,smm,1.685307,1
1024,smmr,3.700478,1
1024,strassen,9.180323,1
8,smm,0.000001,1
8,smmr,0.000003,1
8,strassen,0.000013,1
16,smm,0.000007,1
16,smmr,0.000015,1
16,strassen,0.000081,1
24,smm,0.000026,1
24,smmr,0.000118,1
24,strassen,0.000543,1
32,smm,0.000059,1
32,smmr,0.000114,1
32,strassen,0.000542,1
40,smm,0.000113,1
40,smmr,0.000905,1
40,strassen,0.003773,1
48,smm,0.000187,1
48,smmr,0.000903,1
48,strassen,0.003772,1
56,smm,0.000291,1
56,smmr,0.000901,1
56,strassen,0.003775,1
64,smm,0.000429,1
64,smmr,0.000900,1
64,strassen,0.003773,1
72,smm,0.000608,1
72,smmr,0.007214,1
72,strassen,0.026812,1
80,smm,0.000833,1
80,smmr,0.007218,1
80,strassen,0.026734,1
88,smm,0.001143,1
88,smmr,0.007230,1
88,strassen,0.026732,1
96,smm,0.001440,1
96,smmr,0.007297,1
96,strassen,0.026743,1
104,smm,0.001804,1
104,smmr,0.007227,1
104,strassen,0.026746,1
112,smm,0.002273,1
112,smmr,0.007201,1
112,strassen,0.026769,1
120,smm,0.002769,1
120,smmr,0.007200,1
120,strassen,0.026779,1
128,smm,0.003345,1
128,smmr,0.007195,1
128,strassen,0.026778,1
136,smm,0.004018,1
136,smmr,0.057841,1
136,strassen,0.187605,1
144,smm,0.004753,1
144,smmr,0.057634,1
144,strassen,0.187956,1
152,smm,0.005583,1
152,smmr,0.057637,1
152,strassen,0.187141,1
160,smm,0.006506,1
160,smmr,0.057628,1
160,strassen,0.187341,1
168,smm,0.007525,1
168,smmr,0.057638,1
168,strassen,0.187186,1
176,smm,0.008646,1
176,smmr,0.057624,1
176,strassen,0.187192,1
184,smm,0.009870,1
184,smmr,0.057794,1
184,strassen,0.187337,1
192,smm,0.011210,1
192,smmr,0.057657,1
192,strassen,0.187498,1
200,smm,0.012665,1
200,smmr,0.057666,1
200,strassen,0.187225,1
208,smm,0.014234,1
208,smmr,0.057707,1
208,strassen,0.187109,1
216,smm,0.015934,1
216,smmr,0.057600,1
216,strassen,0.187271,1
224,smm,0.017794,1
224,smmr,0.057725,1
224,strassen,0.187190,1
232,smm,0.019725,1
232,smmr,0.057627,1
232,strassen,0.187227,1
240,smm,0.021836,1
240,smmr,0.057630,1
240,strassen,0.187212,1
248,smm,0.024077,1
248,smmr,0.057654,1
248,strassen,0.187264,1
256,smm,0.026501,1
256,smmr,0.057600,1
256,strassen,0.187241,1
264,smm,0.029071,1
264,smmr,0.461885,1
264,strassen,1.311184,1
272,smm,0.031752,1
272,smmr,0.461563,1
272,strassen,1.303555,1
280,smm,0.034645,1
280,smmr,0.461628,1
280,strassen,1.303619,1
288,smm,0.037767,1
288,smmr,0.461479,1
288,strassen,1.304751,1
296,smm,0.041042,1
296,smmr,0.461444,1
296,strassen,1.303963,1
304,smm,0.044429,1
304,smmr,0.461784,1
304,strassen,1.311277,1
312,smm,0.047993,1
312,smmr,0.461426,1
312,strassen,1.303895,1
320,smm,0.051737,1
320,smmr,0.461367,1
320,strassen,1.295719,1
328,smm,0.055642,1
328,smmr,0.461476,1
328,strassen,1.311342,1
336,smm,0.059859,1
336,smmr,0.461485,1
336,strassen,1.315844,1
344,smm,0.064497,1
344,smmr,0.463713,1
344,strassen,1.311632,1
352,smm,0.068773,1
352,smmr,0.461458,1
352,strassen,1.306696,1
360,smm,0.073511,1
360,smmr,0.462085,1
360,strassen,1.317697,1
368,smm,0.078690,1
368,smmr,0.462500,1
368,strassen,1.302149,1
376,smm,0.083713,1
376,smmr,0.460988,1
376,strassen,1.305950,1
384,smm,0.089200,1
384,smmr,0.461229,1
384,strassen,1.302313,1
392,smm,0.094837,1
392,smmr,0.461348,1
392,strassen,1.301812,1
400,smm,0.100740,1
400,smmr,0.461557,1
400,strassen,1.295494,1
408,smm,0.106876,1
408,smmr,0.460999,1
408,strassen,1.295584,1
416,smm,0.113300,1
416,smmr,0.462161,1
416,strassen,1.305027,1
424,smm,0.119884,1
424,smmr,0.475254,1
424,strassen,1.316383,1
432,smm,0.126823,1
432,smmr,0.461822,1
432,strassen,1.305010,1
440,smm,0.134003,1
440,smmr,0.460928,1
440,strassen,1.311872,1
448,smm,0.141355,1
448,smmr,0.461354,1
448,strassen,1.295818,1
456,smm,0.149032,1
456,smmr,0.461047,1
456,strassen,1.311409,1
464,smm,0.156998,1
464,smmr,0.461151,1
464,strassen,1.311668,1
472,smm,0.165254,1
472,smmr,0.460942,1
472,strassen,1.311807,1
480,smm,0.173783,1
480,smmr,0.461152,1
480,strassen,1.301141,1
488,smm,0.182663,1
488,smmr,0.461645,1
488,strassen,1.312097,1
496,smm,0.191857,1
496,smmr,0.460916,1
496,strassen,1.301104,1
504,smm,0.201082,1
504,smmr,0.461392,1
504,strassen,1.311343,1
512,smm,0.210770,1
512,smmr,0.460674,1
512,strassen,1.295798,1
520,smm,0.220817,1
520,smmr,3.701129,1
520,strassen,9.140080,1
528,smm,0.231318,1
528,smmr,3.700743,1
528,strassen,9.072305,1
536,smm,0.241749,1
536,smmr,3.703551,1
536,strassen,9.076805,1
544,smm,0.252759,1
544,smmr,3.701591,1
544,strassen,9.073366,1
552,smm,0.264027,1
552,smmr,3.702187,1
552,strassen,9.179255,1
560,smm,0.276277,1
560,smmr,3.700699,1
560,strassen,9.186555,1
568,smm,0.288082,1
568,smmr,3.700851,1
568,strassen,9.179370,1
576,smm,0.299945,1
576,smmr,3.701090,1
576,strassen,9.179599,1
584,smm,0.312560,1
584,smmr,3.700814,1
584,strassen,9.073756,1
592,smm,0.326044,1
592,smmr,3.701949,1
592,strassen,9.178941,1
600,smm,0.338906,1
600,smmr,3.700382,1
600,strassen,9.180839,1
608,smm,0.352605,1
608,smmr,3.701268,1
608,strassen,9.181565,1
616,smm,0.366750,1
616,smmr,3.701552,1
616,strassen,9.071060,1
624,smm,0.381681,1
624,smmr,3.702213,1
624,strassen,9.179273,1
632,smm,0.395931,1
632,smmr,3.700824,1
632,strassen,9.179402,1
640,smm,0.411341,1
640,smmr,3.709153,1
640,strassen,9.070348,1
648,smm,0.426720,1
648,smmr,3.700635,1
648,strassen,9.181750,1
656,smm,0.443550,1
656,smmr,3.700672,1
656,strassen,9.182028,1
664,smm,0.459103,1
664,smmr,3.700853,1
664,strassen,9.179942,1
672,smm,0.475837,1
672,smmr,3.701234,1
672,strassen,9.070356,1
680,smm,0.493040,1
680,smmr,3.700724,1
680,strassen,9.182303,1
688,smm,0.511708,1
688,smmr,3.704350,1
688,strassen,9.072266,1
696,smm,0.528647,1
696,smmr,3.701363,1
696,strassen,9.145659,1
704,smm,0.547006,1
704,smmr,3.701270,1
704,strassen,9.180254,1
712,smm,0.567304,1
712,smmr,3.706730,1
712,strassen,9.179372,1
720,smm,0.585997,1
720,smmr,3.701654,1
720,strassen,9.179813,1
728,smm,0.604890,1
728,smmr,3.700673,1
728,strassen,9.180894,1
736,smm,0.624954,1
736,smmr,3.916031,1
736,strassen,9.332363,1
744,smm,0.646022,1
744,smmr,3.701290,1
744,strassen,9.109469,1
752,smm,0.667902,1
752,smmr,3.701592,1
752,strassen,9.181347,1
760,smm,0.687994,1
760,smmr,3.700018,1
760,strassen,9.181604,1
768,smm,0.709961,1
768,smmr,3.701415,1
768,strassen,9.179942,1
776,smm,0.732358,1
776,smmr,3.701193,1
776,strassen,9.187842,1
784,smm,0.756590,1
784,smmr,3.701105,1
784,strassen,9.071172,1
792,smm,0.778863,1
792,smmr,3.701396,1
792,strassen,9.071852,1
800,smm,0.802226,1
800,smmr,3.700282,1
800,strassen,9.181160,1
808,smm,0.826515,1
808,smmr,3.701644,1
808,strassen,9.073029,1
816,smm,0.853380,1
816,smmr,3.701460,1
816,strassen,9.179850,1
824,smm,0.876542,1
824,smmr,3.699917,1
824,strassen,9.179753,1
832,smm,0.902353,1
832,smmr,3.701140,1
832,strassen,9.142666,1
840,smm,0.928507,1
840,smmr,3.700857,1
840,strassen,9.073669,1
848,smm,0.955894,1
848,smmr,3.700946,1
848,strassen,9.187582,1
856,smm,0.982616,1
856,smmr,3.702358,1
856,strassen,9.110855,1
864,smm,1.010294,1
864,smmr,3.700971,1
864,strassen,9.181909,1
872,smm,1.038602,1
872,smmr,3.701183,1
872,strassen,9.179943,1
880,smm,1.067516,1
880,smmr,3.700501,1
880,strassen,9.179658,1
888,smm,1.096787,1
888,smmr,3.700324,1
888,strassen,9.074035,1
896,smm,1.126610,1
896,smmr,3.700115,1
896,strassen,9.179541,1
904,smm,1.157062,1
904,smmr,3.701525,1
904,strassen,9.070507,1
912,smm,1.188046,1
912,smmr,3.699810,1
912,strassen,9.179893,1
920,smm,1.219567,1
920,smmr,3.709118,1
920,strassen,9.073102,1
928,smm,1.251500,1
928,smmr,3.700937,1
928,strassen,9.136903,1
936,smm,1.284224,1
936,smmr,3.700496,1
936,strassen,9.178076,1
944,smm,1.317360,1
944,smmr,3.702227,1
944,strassen,9.179061,1
952,smm,1.351026,1
952,smmr,3.701613,1
952,strassen,9.071363,1
960,smm,1.385795,1
960,smmr,3.698786,1
960,strassen,9.178899,1
968,smm,1.420341,1
968,smmr,3.701132,1
968,strassen,9.187327,1
976,smm,1.455798,1
976,smmr,3.702141,1
976,strassen,9.178367,1
984,smm,1.491820,1
984,smmr,3.702325,1
984,strassen,9.069252,1
992,smm,1.528444,1
992,smmr,3.700841,1
992,strassen,9.178279,1
1000,smm,1.565779,1
1000,smmr,3.700632,1
1000,strassen,9.181502,1
1008,smm,1.603311,1
1008,smmr,3.701933,1
1008,strassen,9.070770,1
1016,smm,1.642006,1
1016,smmr,3.701831,1
1016,strassen,9.179833,1
1024,smm,1.685724,1
1024,smmr,3.701304,1
1024,strassen,9.072797,1
1024,smm,1.690404,1
1024,smmr,3.715626,1
1024,strassen,9.216352,1
2048,smm,29.957941,1
2048,smmr,30.928174,1
2048,strassen,64.680484,1
3072,smm,104.683762,1
3072,smmr,242.985598,1
3072,strassen,447.537937,0
4096,smm,419.003536,1
4096,smmr,242.754593,1
4096,strassen,450.237929,0
5120,smm,881.102514,1
5120,smmr,1941.057459,1
5120,strassen,3141.787766,0
6144,smm,1480.236868,1
6144,smmr,1941.840379,1
6144,strassen,3140.035463,0
7168,smm,2682.631932,1
7168,smmr,1940.573352,1
7168,strassen,3141.161995,0
8192,smm,4222.895320,1
8192,smmr,1940.393666,1
8192,strassen,3147.656511,0
1024,smm,1.687452,1
1024,smmr,3.699965,1
1024,strassen,9.184059,1
2048,smm,29.899305,1
2048,smmr,30.795362,1
2048,strassen,64.058041,1
3072,smm,103.008041,1
3072,smmr,242.600650,1
3072,strassen,448.286777,0
4096,smm,424.676790,1
4096,smmr,242.886442,1
4096,strassen,447.639522,0
5120,smm,879.974931,1
5120,smmr,1941.343578,1
5120,strassen,3144.506690,0
6144,smm,1482.977272,1
6144,smmr,1940.380047,1
6144,strassen,3141.952858,0
7168,smm,2670.949216,1
7168,smmr,1941.154134,1
7168,strassen,3138.921432,0
8192,smm,4210.507419,1
8192,smmr,1941.464392,1
8192,strassen,3144.913337,0
1024,smm,1.687323,1
1024,smmr,3.698649,1
1024,strassen,9.125983,1
2048,smm,30.191936,1
2048,smmr,30.906316,1
2048,strassen,64.595595,1
3072,smm,103.818200,1
3072,smmr,243.133695,1
3072,strassen,449.846204,0
4096,smm,417.847207,1
4096,smmr,242.709694,1
4096,strassen,445.546499,0
5120,smm,882.276905,1
5120,smmr,1942.719256,1
5120,strassen,3146.704046,0
6144,smm,1483.084910,1
6144,smmr,1940.824315,1
6144,strassen,3132.781361,0
7168,smm,2675.041825,1
7168,smmr,1943.460267,1
7168,strassen,3133.709180,0
8192,smm,4211.604151,1
8192,smmr,1941.421230,1
8192,strassen,3143.100659,0
1024,smm,1.688042,1
1024,smmr,3.700515,1
1024,strassen,9.187942,1
2048,smm,29.612155,1
2048,smmr,30.693136,1
2048,strassen,63.895663,1
3072,smm,103.661233,1
3072,smmr,242.547535,1
3072,strassen,450.379956,0
4096,smm,419.327116,1
4096,smmr,242.650809,1
4096,strassen,450.028147,0
5120,smm,878.123830,1
5120,smmr,1942.258375,1
5120,strassen,3135.993235,0
6144,smm,1484.435982,1
6144,smmr,1943.046696,1
6144,strassen,3152.141447,0
7168,smm,2672.092517,1
7168,smmr,1943.415410,1
7168,strassen,3149.495504,0
8192,smm,4199.932868,1
8192,smmr,1943.121962,1
8192,strassen,3147.185481,0
1024,smm,1.687364,1
1024,smmr,3.700814,1
1024,strassen,9.188243,1
2048,smm,29.801644,1
2048,smmr,30.691452,1
2048,strassen,64.389432,1
3072,smm,104.241971,1
3072,smmr,242.872121,1
3072,strassen,449.241437,0
4096,smm,419.274943,1
4096,smmr,242.489295,1
4096,strassen,447.935402,0
5120,smm,882.741598,1
5120,smmr,1941.533052,1
5120,strassen,3145.767226,0
6144,smm,1479.713045,1
6144,smmr,1940.517580,1
6144,strassen,3143.365716,0
7168,smm,2663.715646,1
7168,smmr,1942.435051,1
7168,strassen,3139.574861,0
8192,smm,4205.584068,1
8192,smmr,1941.919688,1
8192,strassen,3131.332945,0
